RADtags,Distance_Covered,RADtags_per_bp
32,1004400,0.00003186
4,56003,0.00007142
6,68655,0.00008739
6,218718,0.00002743
41,1090038,0.00003761
41,1185430,0.00003459
6,108768,0.00005516
11,164757,0.00006676
14,381011,0.00003674
8,290340,0.00002755
42,939667,0.0000447
6,71429,0.000084
7,217880,0.00003213
10,267434,0.00003739
42,1011572,0.00004152
14,319622,0.0000438
25,562220,0.00004447
5,127668,0.00003916
16,181088,0.00008835
16,246920,0.0000648
45,1085131,0.00004147
18,603084,0.00002985
16,587282,0.00002724
31,1022522,0.00003032
5,197642,0.0000253
5,142273,0.00003514
25,599381,0.00004171
12,372612,0.00003221
14,311296,0.00004497
21,527939,0.00003978
7,84069,0.00008326
34,737890,0.00004608
18,292847,0.00006147
9,116789,0.00007706
32,755117,0.00004238
22,285619,0.00007703
13,275666,0.00004716
29,630427,0.000046
17,347916,0.00004886
32,761344,0.00004203
6,80184,0.00007483
21,481979,0.00004357
4,50111,0.00007982
8,302010,0.00002649
9,202519,0.00004444
32,663704,0.00004821
26,466240,0.00005577
15,280239,0.00005353
20,471607,0.00004241
13,90336,0.00014391
20,523534,0.0000382
24,325451,0.00007374
4,58126,0.00006882
79,1690769,0.00004672
20,193178,0.00010353
15,487692,0.00003076
5,206512,0.00002421
18,610274,0.00002949
7,137463,0.00005092
16,502624,0.00003183
11,180021,0.0000611
7,133786,0.00005232
10,304545,0.00003284
4,63518,0.00006297
43,1185619,0.00003627
18,490922,0.00003667
19,266526,0.00007129
12,327425,0.00003665
14,288347,0.00004855
10,149490,0.00006689
10,288083,0.00003471
40,680649,0.00005877
12,287299,0.00004177
24,626603,0.0000383
10,221006,0.00004525
19,388037,0.00004896
24,535586,0.00004481
4,31642,0.00012641
23,747316,0.00003078
21,442740,0.00004743
17,332843,0.00005108
43,764186,0.00005627
12,356037,0.0000337
18,357136,0.0000504
14,170623,0.00008205
8,346995,0.00002306
13,360436,0.00003607
16,346026,0.00004624
20,627496,0.00003187
17,407075,0.00004176
7,167557,0.00004178
18,279746,0.00006434
15,376088,0.00003988
10,209995,0.00004762
13,355875,0.00003653
41,776581,0.0000528
16,350077,0.0000457
7,257467,0.00002719
11,198253,0.00005548
29,615063,0.00004715
16,175607,0.00009111
7,118009,0.00005932
5,76119,0.00006569
7,68989,0.00010147
4,66663,0.00006
7,92248,0.00007588
14,280377,0.00004993
12,448184,0.00002677
98,2106970,0.00004651
7,237334,0.00002949
55,1235305,0.00004452
18,431668,0.0000417
7,187431,0.00003735
42,1092926,0.00003843
7,189027,0.00003703
7,102327,0.00006841
17,410701,0.00004139
6,172683,0.00003475
27,725928,0.00003719
15,351591,0.00004266
8,160466,0.00004985
14,304346,0.000046
8,206608,0.00003872
9,238237,0.00003778
16,403036,0.0000397
17,187592,0.00009062
10,124077,0.0000806
22,559550,0.00003932
4,116836,0.00003424
63,1260028,0.00005
14,325710,0.00004298
36,766131,0.00004699
8,150756,0.00005307
17,382131,0.00004449
20,334448,0.0000598
13,281590,0.00004617
5,184461,0.00002711
19,298535,0.00006364
9,185139,0.00004861
7,151910,0.00004608
12,184575,0.00006501
4,39945,0.00010014
36,684852,0.00005257
17,314438,0.00005406
9,256629,0.00003507
7,98332,0.00007119
11,274521,0.00004007
6,129957,0.00004617
9,284778,0.0000316
10,243311,0.0000411
9,254884,0.00003531
7,102429,0.00006834
14,136926,0.00010225
39,1072826,0.00003635
4,114900,0.00003481
19,302207,0.00006287
8,267923,0.00002986
5,38176,0.00013097
20,541590,0.00003693
29,561618,0.00005164
60,1460953,0.00004107
22,257900,0.0000853
11,146097,0.00007529
