INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	Species	Admix_K7_pops_outgroups_num	Country	IND_ID
Pr_1251	22059	0	144	0.00652795	Pieris_rapae	3	New_Zealand	Pr_1251_New_Zealand_K_3
Pr_1252	22059	0	147	0.00666395	Pieris_rapae	3	New_Zealand	Pr_1252_New_Zealand_K_3
Pr_1259	22059	0	189	0.00856793	Pieris_rapae	3	New_Zealand	Pr_1259_New_Zealand_K_3
Pr_1260	22059	0	146	0.00661861	Pieris_rapae	3	New_Zealand	Pr_1260_New_Zealand_K_3
Pr_1261	22059	0	134	0.00607462	Pieris_rapae	3	New_Zealand	Pr_1261_New_Zealand_K_3
Pr_1262	22059	0	188	0.0085226	Pieris_rapae	3	New_Zealand	Pr_1262_New_Zealand_K_3
Pr_1269	22059	0	193	0.00874926	Pieris_rapae	2	Turkey	Pr_1269_Turkey_K_2
Pr_1270	22059	0	288	0.0130559	Pieris_rapae	2	Turkey	Pr_1270_Turkey_K_2
Pr_1272	22059	0	226	0.0102453	Pieris_rapae	2	Turkey	Pr_1272_Turkey_K_2
Pr_1275	22059	0	163	0.00738927	Pieris_rapae	2	Turkey	Pr_1275_Turkey_K_2
Pr_1276	22059	0	220	0.00997325	Pieris_rapae	2	Turkey	Pr_1276_Turkey_K_2
Pr_1278	22059	0	1826	0.082778	Pieris_rapae	2	Turkey	Pr_1278_Turkey_K_2
Pr_1279	22059	0	349	0.0158212	Pieris_rapae	2	Turkey	Pr_1279_Turkey_K_2
Pr_1282	22059	0	507	0.0229838	Pieris_rapae	3	Australia	Pr_1282_Australia_K_3
Pr_1308	22059	0	169	0.00766127	Pieris_rapae	3	Australia	Pr_1308_Australia_K_3
Pr_131	22059	0	495	0.0224398	Pieris_rapae	5	USA	Pr_131_USA_K_5
Pr_1326	22059	0	196	0.00888526	Pieris_rapae	3	Australia	Pr_1326_Australia_K_3
Pr_1327	22059	0	160	0.00725328	Pieris_rapae	3	Australia	Pr_1327_Australia_K_3
Pr_1333	22059	0	120	0.00543996	Pieris_rapae	3	Australia	Pr_1333_Australia_K_3
Pr_1347	22059	0	138	0.00625595	Pieris_rapae	4	USA	Pr_1347_USA_K_4
Pr_1348	22059	0	927	0.0420237	Pieris_rapae	4	USA	Pr_1348_USA_K_4
Pr_1349	22059	0	168	0.00761594	Pieris_rapae	4	USA	Pr_1349_USA_K_4
Pr_1352	22059	0	210	0.00951992	Pieris_rapae	4	USA	Pr_1352_USA_K_4
Pr_1354	22059	0	175	0.00793327	Pieris_rapae	4	USA	Pr_1354_USA_K_4
Pr_1355	22059	0	342	0.0155039	Pieris_rapae	4	USA	Pr_1355_USA_K_4
Pr_1356	22059	0	191	0.0086586	Pieris_rapae	4	USA	Pr_1356_USA_K_4
